make ,model ,price 
Toyota ,Corolla ,18500
Toyota ,Camry ,23495
Toyota ,Highlander ,30630
Honda ,Accord ,24460
Honda ,Civic ,19730
Honda ,Fit ,17080
Nissan ,Altima ,23385
Nissan ,Leaf ,30875
Nissan ,Maxima ,33495
Chevrolet ,Camaro ,26900
Chevrolet ,Corvette ,56590
Chevrolet ,Malibu ,22555
